title,price,image
"
Сотовый телефон Apple iPhone 13 Pro Max 256GB зеленый
","

 114930 сом
-1%

114040 сом
",/images/product/104490/1647674948_37575000.png
"
Сотовый телефон Apple iPhone 14 Pro Max 1TB космический черный
","

 168730 сом
-1%

167840 сом
",/images/product/111173/1667071163_70803900.jpg
"
Сотовый телефон Apple iPhone 14 Pro Max 1TB серебристый
","

 168730 сом
-1%

167840 сом
",/images/product/111174/1667071276_10960400.jpg
"
Сотовый телефон Apple iPhone 14 Plus 128GB сияющая звезда
","

 81060 сом
-1%

80610 сом
",/images/product/112974/1667069177_83440800.jpg
"
Сотовый телефон Apple iPhone 14 Plus 128GB красный
","

 81060 сом
-1%

80610 сом
",/images/product/112975/1667069193_33978200.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB фиолетовый
","

 89790 сом
-1%

88740 сом
",/images/product/112976/1667069679_17083300.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB сияющая звезда
","

 89790 сом
-1%

88740 сом
",/images/product/112977/1667069774_95840800.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB голубой
","

 89790 сом
-1%

88740 сом
",/images/product/112978/1667069873_64341600.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB красный
","

 89790 сом
-1%

88740 сом
",/images/product/112979/1667069975_61809600.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 128GB зеленый
","

 105950 сом
-2%

104160 сом
",/images/product/104800/1648277074_04112200.png
"
Сотовый телефон Apple iPhone 14 Plus 256GB полночный черный
","

 89790 сом
-1%

88740 сом
",/images/product/111987/1667069557_59609700.jpg
"
Сотовый телефон Apple iPhone 14 Plus 128GB полночный черный
","

 81060 сом
-1%

80610 сом
",/images/product/111988/1667068823_33963400.jpg
"
Сотовый телефон Apple iPhone 14 Plus 128GB голубой
","

 81060 сом
-1%

80610 сом
",/images/product/111989/1667068764_08398100.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 128GB графитовый
","

 105950 сом
-2%

104160 сом
",/images/product/97928/1631814587_45720200.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 256GB графитовый
","

 114930 сом
-1%

114040 сом
",/images/product/97929/1631814606_50121700.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 128GB серебристый
","

 105950 сом
-2%

104160 сом
",/images/product/97932/1631815017_40412500.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 256GB серебристый
","

 114930 сом
-1%

114040 сом
",/images/product/97933/1631815040_09605500.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 128GB золотой
","

 105950 сом
-2%

104160 сом
",/images/product/97936/1631815397_03257100.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 256GB золотой
","

 114930 сом
-1%

114040 сом
",/images/product/97937/1631815413_16996800.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 128GB синий
","

 105950 сом
-2%

104160 сом
",/images/product/97940/1631815790_23633000.jpg
